 Which country is home to the Great Barrier Reef?,Australia,AU 
 What is the smallest country in the world by land area?,Vatican City,VA 
 Which country is known as the Land of the Rising Sun?,Japan,JP 
 In which country would you find Machu Picchu?,Peru,PE 
 Which country has the most time zones with 11?,France,FR 
 What is the only country that borders both the Caspian Sea and the Persian Gulf?,Iran,IR 
 Which country is home to the world's northernmost capital city?,Iceland,IS 
 What country is home to the world's only carbon-negative economy?,Bhutan,BT 
 Which country has the world's only non-rectangular national flag?,Nepal,NP 
 In which country would you find the ancient city of Petra?,Jordan,JO 
 Which country is known for the Eiffel Tower?,France,FR 
 What is the largest country in the world by land area?,Russia,RU 
 Which country is home to the kangaroo?,Australia,AU 
 What country is famous for its tulips and windmills?,Netherlands,NL 
 Which country is known as the Land of Fire and Ice?,Iceland,IS 
 Which country is home to the Amazon rainforest?,Brazil,BR 
 What country has the most UNESCO World Heritage Sites?,Italy,IT 
 In which country would you find the ancient city of Angkor Wat?,Cambodia,KH 
 Which country is the world's largest producer of coffee?,Brazil,BR 
 What is the only country to border both the Atlantic and Indian Oceans?,South Africa,ZA 
 Which country is home to the world's largest desert (by area)?,Algeria,DZ 
 In which country would you find the city of Timbuktu?,Mali,ML 
 Which country has the world's longest coastline?,Canada,CA 
 What country is home to the world's oldest continuous civilization?,China,CN 
 Which country is the world's largest exporter of bananas?,Ecuador,EC 
 In which country would you find the Gobi Desert?,Mongolia,MN 
 What is the only country that is both an island and a continent?,Australia,AU 
 Which country has the highest number of active volcanoes?,Indonesia,ID 
 What country has the highest life expectancy in the world?,Monaco,MC 
 In which country would you find the Killing Fields?,Cambodia,KH 
 Which country is home to the world's largest butterfly?,Papua New Guinea,PG 
 What country has the world's oldest national flag still in use?,Denmark,DK 
 In which country would you find the Suez Canal?,Egypt,EG 
 Which country is home to the world's northernmost tree?,Sweden,SE 
 What is the only country whose name begins with the letter 'Q'?,Qatar,QA 
 Which country has the world's largest number of lakes?,Canada,CA 
 In which country would you find the Virunga Mountains, home to mountain gorillas?,Rwanda,RW 
 What country has a city called   Batman  ?,Turkey,TR 
 Which country is the world's largest producer of vanilla?,Madagascar,MG 
 In which country would you find the world's largest salt flat, Salar de Uyuni?,Bolivia,BO 
